source,target,weight,graph
bfo,metadata_only_sources,metadata,import_uses
devs,metadata_only_sources,metadata,import_uses
dolce,metadata_only_sources,metadata,import_uses
emmo,metadata_only_sources,metadata,import_uses
game_ontology_project,metadata_only_sources,metadata,import_uses
gdlf_gamelan,metadata_only_sources,metadata,import_uses
hla_fom,metadata_only_sources,metadata,import_uses
kaos,metadata_only_sources,metadata,import_uses
kisao,metadata_only_sources,metadata,import_uses
miase,metadata_only_sources,metadata,import_uses
odd_protocol,metadata_only_sources,metadata,import_uses
ontouml_ufo,metadata_only_sources,metadata,import_uses
osmo,metadata_only_sources,metadata,import_uses
owl_time,format:turtle,format,import_uses
p_plan,metadata_only_sources,metadata,import_uses
prov_o,format:xml,format,import_uses
schema_org,format:turtle,format,import_uses
sed_ml,metadata_only_sources,metadata,import_uses
ssn_sosa,format:turtle,format,import_uses
ssn_sosa,import:sosa,imports,import_uses
uogto_alignments_mcp-a2a,import:core,imports,import_uses
uogto_alignments_open-games,import:core,imports,import_uses
uogto_alignments_prov-o,import:core,imports,import_uses
uogto_alignments_schema-org,import:core,imports,import_uses
uogto_alignments_wot-thing-description,import:core,imports,import_uses
uogto_core_actions,import:core,imports,import_uses
uogto_core_agents,import:core,imports,import_uses
uogto_core_dynamics,import:core,imports,import_uses
uogto_core_equilibria,import:core,imports,import_uses
uogto_core_games,import:core,imports,import_uses
uogto_core_information,import:core,imports,import_uses
uogto_core_outcomes,import:core,imports,import_uses
uogto_core_payoffs,import:core,imports,import_uses
uogto_core_rules,import:core,imports,import_uses
uogto_core_strategies,import:core,imports,import_uses
uogto_extensions_algorithmic-game-theory,import:core,imports,import_uses
uogto_extensions_auctions,import:core,imports,import_uses
uogto_extensions_bargaining,import:core,imports,import_uses
uogto_extensions_behavioural-games,import:core,imports,import_uses
uogto_extensions_causal-games,import:core,imports,import_uses
uogto_extensions_compositional-open-games,import:core,imports,import_uses
uogto_extensions_computational-social-choice,import:core,imports,import_uses
uogto_extensions_congestion-routing-games,import:core,imports,import_uses
uogto_extensions_contract-theory,import:core,imports,import_uses
uogto_extensions_cooperative,import:core,imports,import_uses
uogto_extensions_deontic-logic,import:core,imports,import_uses
uogto_extensions_differential-hybrid-games,import:core,imports,import_uses
uogto_extensions_digital-twin-games,import:core,imports,import_uses
uogto_extensions_epistemic-games,import:core,imports,import_uses
uogto_extensions_evolutionary-games,import:core,imports,import_uses
uogto_extensions_game-description-languages,import:core,imports,import_uses
uogto_extensions_information-design,import:core,imports,import_uses
uogto_extensions_institutional-economics,import:core,imports,import_uses
uogto_extensions_kg-execution-bindings,import:core,imports,import_uses
uogto_extensions_learning-in-games,import:core,imports,import_uses
uogto_extensions_llm-agent-games,import:core,imports,import_uses
uogto_extensions_marl,import:core,imports,import_uses
uogto_extensions_matching-allocation,import:core,imports,import_uses
uogto_extensions_mean-field-games,import:core,imports,import_uses
uogto_extensions_mechanism-design,import:core,imports,import_uses
uogto_extensions_network-games,import:core,imports,import_uses
uogto_extensions_petri-net-devs-hla,import:core,imports,import_uses
uogto_extensions_privacy-disclosure,import:core,imports,import_uses
uogto_extensions_security-games,import:core,imports,import_uses
uogto_extensions_trust-reputation-provenance,import:core,imports,import_uses
uogto_extensions_verification-games,import:core,imports,import_uses
vimmp_ontologies,metadata_only_sources,metadata,import_uses
xmile,metadata_only_sources,metadata,import_uses
