id,label,kind,degree,graph
bfo,Basic Formal Ontology,source,1,import_uses
devs,DEVS simulation,source,1,import_uses
dolce,DOLCE ontology,source,1,import_uses
emmo,EMMO,source,1,import_uses
format:turtle,Format: Turtle,format,3,import_uses
format:xml,Format: Xml,format,1,import_uses
game_ontology_project,Game Ontology Project,source,1,import_uses
gdlf_gamelan,Game Description Language,source,1,import_uses
hla_fom,HLA Federation Object Model,source,1,import_uses
import:core,Import: Core,import,46,import_uses
import:sosa,Import: Sosa,import,1,import_uses
kaos,KAoS policy ontology,source,1,import_uses
kisao,KiSAO algorithms,source,1,import_uses
metadata_only_sources,Metadata-only sources,evidence_group,17,import_uses
miase,MIASE,source,1,import_uses
odd_protocol,ODD protocol,source,1,import_uses
ontouml_ufo,OntoUML / UFO,source,1,import_uses
osmo,OSMO,source,1,import_uses
owl_time,OWL-Time,source,1,import_uses
p_plan,P-Plan,source,1,import_uses
prov_o,PROV-O,source,1,import_uses
schema_org,schema.org,source,1,import_uses
sed_ml,SED-ML,source,1,import_uses
ssn_sosa,SSN/SOSA,source,2,import_uses
uogto_alignments_mcp-a2a,UOGTO Alignments Mcp A2a,uogto_module,1,import_uses
uogto_alignments_open-games,UOGTO Alignments Open Games,uogto_module,1,import_uses
uogto_alignments_prov-o,UOGTO Alignments Prov O,uogto_module,1,import_uses
uogto_alignments_schema-org,UOGTO Alignments Schema Org,uogto_module,1,import_uses
uogto_alignments_wot-thing-description,UOGTO Alignments Wot Thing Description,uogto_module,1,import_uses
uogto_core_actions,UOGTO Actions,uogto_module,1,import_uses
uogto_core_agents,UOGTO Agents,uogto_module,1,import_uses
uogto_core_dynamics,UOGTO Dynamics,uogto_module,1,import_uses
uogto_core_equilibria,UOGTO Equilibria,uogto_module,1,import_uses
uogto_core_games,UOGTO Games,uogto_module,1,import_uses
uogto_core_information,UOGTO Information,uogto_module,1,import_uses
uogto_core_outcomes,UOGTO Outcomes,uogto_module,1,import_uses
uogto_core_payoffs,UOGTO Payoffs,uogto_module,1,import_uses
uogto_core_rules,UOGTO Rules,uogto_module,1,import_uses
uogto_core_strategies,UOGTO Strategies,uogto_module,1,import_uses
uogto_core_uogto-core,UOGTO Uogto Core,uogto_module,0,import_uses
uogto_extensions_algorithmic-game-theory,UOGTO Algorithmic Game Theory,uogto_module,1,import_uses
uogto_extensions_algorithmic-solvers-patch,UOGTO Algorithmic Solvers Patch,uogto_module,0,import_uses
uogto_extensions_auctions,UOGTO Auctions,uogto_module,1,import_uses
uogto_extensions_bargaining,UOGTO Bargaining,uogto_module,1,import_uses
uogto_extensions_behavioural-games,UOGTO Behavioural Games,uogto_module,1,import_uses
uogto_extensions_causal-games,UOGTO Causal Games,uogto_module,1,import_uses
uogto_extensions_compositional-open-games,UOGTO Compositional Open Games,uogto_module,1,import_uses
uogto_extensions_computational-social-choice,UOGTO Computational Social Choice,uogto_module,1,import_uses
uogto_extensions_congestion-routing-games,UOGTO Congestion Routing Games,uogto_module,1,import_uses
uogto_extensions_contract-theory,UOGTO Contract Theory,uogto_module,1,import_uses
uogto_extensions_cooperative,UOGTO Cooperative,uogto_module,1,import_uses
uogto_extensions_deontic-logic,UOGTO Deontic Logic,uogto_module,1,import_uses
uogto_extensions_differential-hybrid-games,UOGTO Differential Hybrid Games,uogto_module,1,import_uses
uogto_extensions_digital-twin-games,UOGTO Digital Twin Games,uogto_module,1,import_uses
uogto_extensions_epistemic-games,UOGTO Epistemic Games,uogto_module,1,import_uses
uogto_extensions_evolutionary-games,UOGTO Evolutionary Games,uogto_module,1,import_uses
uogto_extensions_game-description-languages,UOGTO Game Description Languages,uogto_module,1,import_uses
uogto_extensions_information-design,UOGTO Information Design,uogto_module,1,import_uses
uogto_extensions_institutional-economics,UOGTO Institutional Economics,uogto_module,1,import_uses
uogto_extensions_kg-execution-bindings,UOGTO Kg Execution Bindings,uogto_module,1,import_uses
uogto_extensions_learning-in-games,UOGTO Learning In Games,uogto_module,1,import_uses
uogto_extensions_llm-agent-games,UOGTO LLM Agent Games,uogto_module,1,import_uses
uogto_extensions_marl,UOGTO MARL,uogto_module,1,import_uses
uogto_extensions_matching-allocation,UOGTO Matching Allocation,uogto_module,1,import_uses
uogto_extensions_mean-field-games,UOGTO Mean Field Games,uogto_module,1,import_uses
uogto_extensions_mechanism-design,UOGTO Mechanism Design,uogto_module,1,import_uses
uogto_extensions_network-games,UOGTO Network Games,uogto_module,1,import_uses
uogto_extensions_petri-net-devs-hla,UOGTO Petri Net Devs Hla,uogto_module,1,import_uses
uogto_extensions_privacy-disclosure,UOGTO Privacy Disclosure,uogto_module,1,import_uses
uogto_extensions_security-games,UOGTO Security Games,uogto_module,1,import_uses
uogto_extensions_trust-reputation-provenance,UOGTO Trust Reputation Provenance,uogto_module,1,import_uses
uogto_extensions_verification-games,UOGTO Verification Games,uogto_module,1,import_uses
vimmp_ontologies,VIMMP ontologies,source,1,import_uses
xmile,XMILE system dynamics,source,1,import_uses
