source,target,weight,graph
bfo,dolce,0.2222,source_similarity
bfo,emmo,0.1818,source_similarity
bfo,ontouml_ufo,0.1818,source_similarity
dolce,emmo,0.2,source_similarity
dolce,kaos,0.1667,source_similarity
dolce,ontouml_ufo,0.2,source_similarity
dolce,p_plan,0.125,source_similarity
emmo,ontouml_ufo,0.1667,source_similarity
emmo,osmo,0.1818,source_similarity
emmo,vimmp_ontologies,0.2308,source_similarity
gdlf_gamelan,sed_ml,0.1538,source_similarity
gdlf_gamelan,uogto_extensions_game-description-languages,0.1364,source_similarity
hla_fom,sed_ml,0.15,source_similarity
kaos,odd_protocol,0.125,source_similarity
kisao,osmo,0.2,source_similarity
kisao,vimmp_ontologies,0.1538,source_similarity
miase,sed_ml,0.2308,source_similarity
odd_protocol,uogto_alignments_mcp-a2a,0.1333,source_similarity
osmo,vimmp_ontologies,0.3636,source_similarity
sed_ml,xmile,0.1429,source_similarity
uogto_alignments_mcp-a2a,uogto_alignments_open-games,0.1818,source_similarity
uogto_alignments_mcp-a2a,uogto_alignments_prov-o,0.25,source_similarity
uogto_alignments_mcp-a2a,uogto_alignments_schema-org,0.1667,source_similarity
uogto_alignments_mcp-a2a,uogto_core_agents,0.1429,source_similarity
uogto_alignments_mcp-a2a,uogto_extensions_llm-agent-games,0.1429,source_similarity
uogto_alignments_open-games,uogto_alignments_prov-o,0.2,source_similarity
uogto_alignments_open-games,uogto_alignments_schema-org,0.2222,source_similarity
uogto_alignments_open-games,uogto_alignments_wot-thing-description,0.1429,source_similarity
uogto_alignments_open-games,uogto_core_games,0.3333,source_similarity
uogto_alignments_open-games,uogto_extensions_causal-games,0.1875,source_similarity
uogto_alignments_open-games,uogto_extensions_compositional-open-games,0.2353,source_similarity
uogto_alignments_open-games,uogto_extensions_congestion-routing-games,0.15,source_similarity
uogto_alignments_open-games,uogto_extensions_cooperative,0.1579,source_similarity
uogto_alignments_open-games,uogto_extensions_differential-hybrid-games,0.1364,source_similarity
uogto_alignments_open-games,uogto_extensions_digital-twin-games,0.1364,source_similarity
uogto_alignments_open-games,uogto_extensions_epistemic-games,0.1579,source_similarity
uogto_alignments_open-games,uogto_extensions_evolutionary-games,0.1579,source_similarity
uogto_alignments_open-games,uogto_extensions_mean-field-games,0.1667,source_similarity
uogto_alignments_open-games,uogto_extensions_network-games,0.1579,source_similarity
uogto_alignments_open-games,uogto_extensions_security-games,0.15,source_similarity
uogto_alignments_open-games,uogto_extensions_verification-games,0.125,source_similarity
uogto_alignments_prov-o,uogto_alignments_schema-org,0.3,source_similarity
uogto_alignments_prov-o,uogto_alignments_wot-thing-description,0.125,source_similarity
uogto_alignments_prov-o,uogto_core_actions,0.1667,source_similarity
uogto_alignments_prov-o,uogto_core_agents,0.1538,source_similarity
uogto_alignments_prov-o,uogto_core_outcomes,0.1667,source_similarity
uogto_alignments_prov-o,uogto_extensions_contract-theory,0.125,source_similarity
uogto_alignments_schema-org,uogto_alignments_wot-thing-description,0.1333,source_similarity
uogto_alignments_schema-org,uogto_core_actions,0.1818,source_similarity
uogto_alignments_schema-org,uogto_core_agents,0.1667,source_similarity
uogto_alignments_wot-thing-description,uogto_extensions_digital-twin-games,0.1481,source_similarity
uogto_core_actions,uogto_core_agents,0.25,source_similarity
uogto_core_actions,uogto_core_dynamics,0.3,source_similarity
uogto_core_actions,uogto_core_equilibria,0.25,source_similarity
uogto_core_actions,uogto_core_games,0.2727,source_similarity
uogto_core_actions,uogto_core_information,0.3,source_similarity
uogto_core_actions,uogto_core_outcomes,0.2727,source_similarity
uogto_core_actions,uogto_core_payoffs,0.2727,source_similarity
uogto_core_actions,uogto_core_rules,0.2727,source_similarity
uogto_core_actions,uogto_core_strategies,0.2727,source_similarity
uogto_core_agents,uogto_core_dynamics,0.2727,source_similarity
uogto_core_agents,uogto_core_equilibria,0.2308,source_similarity
uogto_core_agents,uogto_core_games,0.25,source_similarity
uogto_core_agents,uogto_core_information,0.2727,source_similarity
uogto_core_agents,uogto_core_outcomes,0.25,source_similarity
uogto_core_agents,uogto_core_payoffs,0.25,source_similarity
uogto_core_agents,uogto_core_rules,0.25,source_similarity
uogto_core_agents,uogto_core_strategies,0.25,source_similarity
uogto_core_dynamics,uogto_core_equilibria,0.2727,source_similarity
uogto_core_dynamics,uogto_core_games,0.3,source_similarity
uogto_core_dynamics,uogto_core_information,0.3333,source_similarity
uogto_core_dynamics,uogto_core_outcomes,0.3,source_similarity
uogto_core_dynamics,uogto_core_payoffs,0.3,source_similarity
uogto_core_dynamics,uogto_core_rules,0.3,source_similarity
uogto_core_dynamics,uogto_core_strategies,0.3,source_similarity
uogto_core_equilibria,uogto_core_games,0.25,source_similarity
uogto_core_equilibria,uogto_core_information,0.4,source_similarity
uogto_core_equilibria,uogto_core_outcomes,0.25,source_similarity
uogto_core_equilibria,uogto_core_payoffs,0.25,source_similarity
uogto_core_equilibria,uogto_core_rules,0.25,source_similarity
uogto_core_equilibria,uogto_core_strategies,0.25,source_similarity
